date,atelier,planned_hours,run_hours,availability,performance,quality,TRS_OEE
2025-10-01,Fermentation,17,17,1.0,0.921,0.923,0.85
2025-10-02,Purification,17,12,0.706,0.92,0.952,0.618
2025-10-03,Fermentation,16,16,1.0,0.772,0.922,0.711
2025-10-04,Purification,24,23,0.958,0.915,0.967,0.847
2025-10-05,Fermentation,19,16,0.842,0.886,0.977,0.728
2025-10-06,Fermentation,18,13,0.722,0.847,0.926,0.567
2025-10-07,Purification,21,21,1.0,0.771,0.909,0.701
2025-10-08,Fermentation,20,14,0.7,0.76,0.944,0.502
2025-10-09,Purification,22,22,1.0,0.877,0.979,0.858
2025-10-10,Purification,19,14,0.737,0.766,0.963,0.543
2025-10-11,Purification,17,11,0.647,0.804,0.91,0.473
2025-10-12,Purification,23,18,0.783,0.942,0.915,0.675
2025-10-13,Fermentation,19,14,0.737,0.811,0.989,0.591
2025-10-14,Purification,18,14,0.778,0.918,0.916,0.653
2025-10-15,Purification,20,15,0.75,0.908,0.921,0.627
2025-10-16,Purification,16,15,0.938,0.939,0.976,0.86
2025-10-17,Purification,20,20,1.0,0.799,0.99,0.79
2025-10-18,Purification,19,14,0.737,0.865,0.984,0.627
2025-10-19,Purification,18,16,0.889,0.782,0.971,0.675
2025-10-20,Fermentation,22,18,0.818,0.842,0.921,0.634
2025-10-21,Fermentation,24,21,0.875,0.771,0.904,0.61
2025-10-22,Fermentation,18,13,0.722,0.787,0.965,0.548
2025-10-23,Purification,22,19,0.864,0.887,0.944,0.724
2025-10-24,Fermentation,24,18,0.75,0.967,0.965,0.699
2025-10-25,Fermentation,24,18,0.75,0.811,0.961,0.585
2025-10-26,Purification,20,17,0.85,0.786,0.9,0.602
2025-10-27,Purification,24,18,0.75,0.791,0.987,0.585
2025-10-28,Fermentation,24,20,0.833,0.796,0.936,0.62
2025-10-29,Purification,24,18,0.75,0.962,0.987,0.712
2025-10-30,Purification,23,23,1.0,0.776,0.934,0.725
2025-10-31,Fermentation,19,19,1.0,0.805,0.954,0.768
2025-11-01,Fermentation,17,12,0.706,0.862,0.907,0.551
2025-11-02,Purification,18,13,0.722,0.859,0.952,0.591
2025-11-03,Fermentation,24,18,0.75,0.89,0.992,0.662
2025-11-04,Purification,20,17,0.85,0.979,0.962,0.8
2025-11-05,Purification,24,21,0.875,0.778,0.921,0.627
2025-11-06,Fermentation,16,12,0.75,0.877,0.956,0.629
2025-11-07,Fermentation,17,12,0.706,0.895,0.922,0.582
2025-11-08,Purification,21,21,1.0,0.868,0.926,0.804
2025-11-09,Purification,19,15,0.789,0.78,0.989,0.609
2025-11-10,Fermentation,19,13,0.684,0.859,0.939,0.552
2025-11-11,Purification,17,12,0.706,0.849,0.94,0.564
2025-11-12,Fermentation,16,11,0.688,0.9,0.961,0.595
2025-11-13,Fermentation,22,17,0.773,0.828,0.982,0.628
2025-11-14,Fermentation,19,18,0.947,0.873,0.913,0.756
2025-11-15,Purification,20,17,0.85,0.807,0.988,0.678
2025-11-16,Fermentation,24,24,1.0,0.762,0.995,0.758
2025-11-17,Purification,17,11,0.647,0.945,0.916,0.56
2025-11-18,Fermentation,23,22,0.957,0.949,0.986,0.895
2025-11-19,Purification,22,22,1.0,0.977,0.925,0.904
2025-11-20,Purification,20,17,0.85,0.91,0.969,0.75
2025-11-21,Fermentation,18,17,0.944,0.818,0.992,0.767
2025-11-22,Fermentation,21,21,1.0,0.762,0.945,0.72
2025-11-23,Fermentation,16,12,0.75,0.768,0.918,0.529
2025-11-24,Fermentation,19,16,0.842,0.778,0.985,0.645
2025-11-25,Purification,16,12,0.75,0.769,0.962,0.555
2025-11-26,Purification,20,19,0.95,0.904,0.93,0.799
2025-11-27,Purification,22,21,0.955,0.904,0.928,0.802
2025-11-28,Fermentation,17,17,1.0,0.855,0.995,0.851
2025-11-29,Purification,17,13,0.765,0.799,0.925,0.565
2025-11-30,Purification,17,16,0.941,0.835,0.915,0.719
2025-12-01,Fermentation,24,24,1.0,0.904,0.953,0.861
2025-12-02,Fermentation,18,16,0.889,0.777,0.91,0.628
2025-12-03,Fermentation,20,18,0.9,0.889,0.968,0.775
2025-12-04,Fermentation,20,16,0.8,0.862,0.986,0.68
2025-12-05,Fermentation,17,12,0.706,0.847,0.926,0.554
2025-12-06,Fermentation,21,15,0.714,0.78,0.993,0.553
2025-12-07,Fermentation,23,19,0.826,0.912,0.953,0.718
2025-12-08,Purification,17,12,0.706,0.958,0.952,0.644
2025-12-09,Purification,24,23,0.958,0.849,0.904,0.735
2025-12-10,Fermentation,16,14,0.875,0.798,0.924,0.645
2025-12-11,Fermentation,21,15,0.714,0.879,0.983,0.617
2025-12-12,Fermentation,19,13,0.684,0.787,0.976,0.526
2025-12-13,Purification,22,22,1.0,0.791,0.988,0.782
2025-12-14,Purification,19,17,0.895,0.787,0.967,0.68
2025-12-15,Purification,16,10,0.625,0.858,0.919,0.493
2025-12-16,Fermentation,21,19,0.905,0.939,0.983,0.835
2025-12-17,Fermentation,16,11,0.688,0.794,0.931,0.509
2025-12-18,Purification,20,18,0.9,0.898,0.938,0.758
2025-12-19,Purification,16,16,1.0,0.952,0.925,0.88
2025-12-20,Purification,16,16,1.0,0.887,0.933,0.828
2025-12-21,Fermentation,22,18,0.818,0.976,0.911,0.728
2025-12-22,Fermentation,20,20,1.0,0.913,0.9,0.822
2025-12-23,Purification,21,18,0.857,0.766,0.963,0.632
2025-12-24,Purification,21,16,0.762,0.945,0.968,0.697
2025-12-25,Purification,24,22,0.917,0.903,0.931,0.771
2025-12-26,Purification,24,23,0.958,0.794,0.963,0.733
2025-12-27,Fermentation,18,14,0.778,0.881,0.939,0.643
2025-12-28,Purification,20,18,0.9,0.798,0.975,0.7
2025-12-29,Purification,23,20,0.87,0.852,0.92,0.682
2025-12-30,Purification,18,13,0.722,0.77,0.949,0.527
2025-12-31,Purification,17,11,0.647,0.969,0.922,0.578
2026-01-01,Fermentation,19,13,0.684,0.796,0.902,0.491
2026-01-02,Purification,23,19,0.826,0.945,0.907,0.708
2026-01-03,Fermentation,19,14,0.737,0.91,0.947,0.635
2026-01-04,Fermentation,18,13,0.722,0.908,0.985,0.646
2026-01-05,Purification,22,21,0.955,0.79,0.991,0.748
2026-01-06,Purification,16,12,0.75,0.807,0.981,0.594
2026-01-07,Purification,18,12,0.667,0.857,0.95,0.543
2026-01-08,Purification,23,19,0.826,0.937,0.985,0.763
2026-01-09,Purification,24,21,0.875,0.956,0.971,0.812
2026-01-10,Purification,23,21,0.913,0.923,0.98,0.826
2026-01-11,Fermentation,24,21,0.875,0.894,0.926,0.725
2026-01-12,Fermentation,20,19,0.95,0.812,0.93,0.718
2026-01-13,Fermentation,18,17,0.944,0.803,0.966,0.733
2026-01-14,Purification,17,14,0.824,0.844,0.952,0.661
2026-01-15,Fermentation,16,15,0.938,0.942,0.937,0.827
2026-01-16,Purification,22,19,0.864,0.751,0.933,0.606
2026-01-17,Fermentation,22,18,0.818,0.922,0.952,0.718
2026-01-18,Purification,23,22,0.957,0.813,0.946,0.736
2026-01-19,Fermentation,21,16,0.762,0.906,0.938,0.648
2026-01-20,Purification,23,22,0.957,0.976,0.951,0.887
2026-01-21,Purification,16,16,1.0,0.898,0.913,0.82
2026-01-22,Purification,18,18,1.0,0.81,0.931,0.754
2026-01-23,Purification,21,19,0.905,0.925,0.936,0.783
2026-01-24,Fermentation,20,14,0.7,0.769,0.902,0.485
2026-01-25,Fermentation,21,20,0.952,0.9,0.974,0.835
2026-01-26,Fermentation,16,15,0.938,0.796,0.902,0.673
2026-01-27,Fermentation,19,18,0.947,0.859,0.911,0.741
2026-01-28,Fermentation,23,18,0.783,0.809,0.935,0.592
2026-01-29,Purification,18,16,0.889,0.775,0.902,0.622
2026-01-30,Fermentation,22,19,0.864,0.967,0.919,0.767
2026-01-31,Fermentation,17,12,0.706,0.928,0.981,0.642
2026-02-01,Fermentation,16,14,0.875,0.873,0.963,0.735
2026-02-02,Purification,24,19,0.792,0.828,0.981,0.643
2026-02-03,Purification,17,14,0.824,0.971,0.96,0.768
2026-02-04,Purification,18,15,0.833,0.791,0.95,0.626
2026-02-05,Purification,24,18,0.75,0.861,0.941,0.608
2026-02-06,Purification,21,15,0.714,0.806,0.989,0.57
2026-02-07,Purification,23,22,0.957,0.923,0.954,0.842
2026-02-08,Purification,21,21,1.0,0.864,0.931,0.804
2026-02-09,Purification,19,17,0.895,0.934,0.932,0.779
2026-02-10,Fermentation,24,24,1.0,0.869,0.918,0.798
2026-02-11,Purification,22,19,0.864,0.878,0.923,0.7
2026-02-12,Fermentation,23,20,0.87,0.932,0.909,0.737
2026-02-13,Purification,22,17,0.773,0.806,0.963,0.6
2026-02-14,Purification,23,19,0.826,0.872,0.94,0.678
2026-02-15,Fermentation,21,16,0.762,0.854,0.929,0.605
2026-02-16,Fermentation,17,12,0.706,0.794,0.911,0.511
2026-02-17,Purification,19,18,0.947,0.92,0.926,0.807
2026-02-18,Fermentation,17,11,0.647,0.795,0.922,0.474
2026-02-19,Fermentation,20,20,1.0,0.913,0.912,0.833
2026-02-20,Purification,16,12,0.75,0.817,0.99,0.607
2026-02-21,Purification,17,11,0.647,0.753,0.927,0.452
2026-02-22,Purification,23,21,0.913,0.792,0.905,0.655
2026-02-23,Fermentation,17,11,0.647,0.765,0.947,0.469
2026-02-24,Fermentation,18,17,0.944,0.937,0.99,0.876
2026-02-25,Fermentation,19,19,1.0,0.878,0.94,0.825
2026-02-26,Purification,24,21,0.875,0.854,0.942,0.704
2026-02-27,Fermentation,20,16,0.8,0.893,0.958,0.684
2026-02-28,Fermentation,19,14,0.737,0.799,0.963,0.566
2026-03-01,Purification,19,18,0.947,0.877,0.915,0.76
2026-03-02,Fermentation,23,18,0.783,0.887,0.928,0.644
2026-03-03,Fermentation,20,15,0.75,0.815,0.982,0.6
2026-03-04,Fermentation,19,17,0.895,0.931,0.959,0.799
2026-03-05,Purification,22,22,1.0,0.875,0.962,0.842
2026-03-06,Purification,18,18,1.0,0.764,0.975,0.745
2026-03-07,Purification,23,23,1.0,0.858,0.929,0.797
2026-03-08,Fermentation,20,16,0.8,0.874,0.942,0.659
2026-03-09,Fermentation,22,17,0.773,0.824,0.924,0.588
2026-03-10,Fermentation,19,14,0.737,0.942,0.955,0.663
2026-03-11,Purification,20,16,0.8,0.759,0.972,0.59
2026-03-12,Purification,24,19,0.792,0.852,0.926,0.625
2026-03-13,Purification,23,23,1.0,0.858,0.939,0.806
2026-03-14,Purification,17,11,0.647,0.787,0.939,0.478
2026-03-15,Fermentation,20,15,0.75,0.967,0.977,0.709
2026-03-16,Purification,23,23,1.0,0.822,0.931,0.765
2026-03-17,Purification,24,18,0.75,0.977,0.962,0.705
2026-03-18,Purification,22,22,1.0,0.793,0.934,0.741
2026-03-19,Fermentation,23,17,0.739,0.762,0.925,0.521
2026-03-20,Fermentation,20,17,0.85,0.953,0.946,0.766
2026-03-21,Purification,19,14,0.737,0.786,0.952,0.552
2026-03-22,Purification,17,16,0.941,0.978,0.987,0.908
2026-03-23,Purification,17,12,0.706,0.941,0.947,0.63
2026-03-24,Purification,24,19,0.792,0.813,0.979,0.63
2026-03-25,Fermentation,19,16,0.842,0.877,0.936,0.691
2026-03-26,Purification,17,15,0.882,0.928,0.981,0.803
2026-03-27,Purification,24,22,0.917,0.939,0.927,0.798
2026-03-28,Purification,23,17,0.739,0.784,0.951,0.551
2026-03-29,Purification,21,17,0.81,0.925,0.936,0.701
2026-03-30,Purification,19,14,0.737,0.805,0.936,0.555
2026-03-31,Purification,16,14,0.875,0.921,0.967,0.78
2026-04-01,Fermentation,22,17,0.773,0.932,0.962,0.693
2026-04-02,Purification,23,23,1.0,0.779,0.992,0.773
2026-04-03,Purification,17,11,0.647,0.944,0.909,0.556
2026-04-04,Fermentation,16,11,0.688,0.783,0.983,0.529
2026-04-05,Purification,17,14,0.824,0.93,0.925,0.708
2026-04-06,Purification,17,11,0.647,0.826,0.964,0.515
2026-04-07,Fermentation,21,16,0.762,0.915,0.972,0.678
2026-04-08,Fermentation,17,16,0.941,0.895,0.987,0.832
2026-04-09,Fermentation,17,14,0.824,0.975,0.972,0.781
2026-04-10,Fermentation,23,22,0.957,0.91,0.986,0.858
2026-04-11,Purification,21,15,0.714,0.763,0.934,0.509
2026-04-12,Fermentation,18,17,0.944,0.872,0.954,0.786
2026-04-13,Fermentation,18,17,0.944,0.768,0.983,0.713
2026-04-14,Purification,23,19,0.826,0.783,0.944,0.61
2026-04-15,Purification,23,21,0.913,0.903,0.985,0.813
2026-04-16,Purification,20,15,0.75,0.876,0.907,0.596
2026-04-17,Purification,20,15,0.75,0.971,0.966,0.703
2026-04-18,Fermentation,20,19,0.95,0.98,0.981,0.913
